Id,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
287,Slakoth,Normal,,280,60,60,60,35,35,30,3,False
646,Kyurem,Dragon,Ice,660,125,130,90,130,90,95,5,True
488,Cresselia,Psychic,,600,120,70,120,75,130,85,4,False
432,Purugly,Normal,,452,71,82,64,64,59,112,4,False
569,Garbodor,Poison,,474,80,95,82,60,82,75,5,False
548,Petilil,Grass,,280,45,35,50,70,50,30,5,False
354,Banette,Ghost,,455,64,115,65,83,63,65,3,False
364,Sealeo,Ice,Water,410,90,60,70,75,70,45,3,False
1,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,False
623,Golurk,Ground,Ghost,483,89,124,80,55,80,55,5,False
577,Solosis,Psychic,,290,45,30,40,105,50,20,5,False
236,Tyrogue,Fighting,,210,35,35,35,35,35,35,2,False
453,Croagunk,Poison,Fighting,300,48,61,40,61,40,50,4,False
163,Hoothoot,Normal,Flying,262,60,30,30,36,56,50,2,False
175,Togepi,Fairy,,245,35,20,65,40,65,20,2,False
208,Steelix,Steel,Ground,510,75,85,200,55,65,30,2,False
301,Delcatty,Normal,,380,70,65,65,55,55,70,3,False
417,Pachirisu,Electric,,405,60,45,70,45,90,95,4,False
188,Skiploom,Grass,Flying,340,55,45,50,45,65,80,2,False
223,Remoraid,Water,,300,35,65,35,65,35,65,2,False
523,Zebstrika,Electric,,497,75,100,63,80,63,116,5,False
543,Venipede,Bug,Poison,260,30,45,59,30,39,57,5,False
562,Yamask,Ghost,,303,38,30,85,55,65,30,5,False
92,Gastly,Ghost,Poison,310,30,35,30,100,35,80,1,False
666,Vivillon,Bug,Flying,411,80,52,50,90,50,89,6,False
254,Sceptile,Grass,,530,70,85,65,105,85,120,3,False
479,Rotom,Electric,Ghost,440,50,50,77,95,77,91,4,False
371,Bagon,Dragon,,300,45,75,60,40,30,50,3,False
304,Aron,Steel,Rock,330,50,70,100,40,40,30,3,False
645,LandorusTherian Forme,Ground,Flying,600,89,145,90,105,80,91,5,True
456,Finneon,Water,,330,49,49,56,49,61,66,4,False
563,Cofagrigus,Ghost,,483,58,50,145,95,105,30,5,False
30,Nidorina,Poison,,365,70,62,67,55,55,56,1,False
98,Krabby,Water,,325,30,105,90,25,25,50,1,False
451,Skorupi,Poison,Bug,330,40,50,90,30,55,65,4,False
72,Tentacool,Water,Poison,335,40,40,35,50,100,70,1,False
295,Exploud,Normal,,490,104,91,63,91,73,68,3,False
672,Skiddo,Grass,,350,66,65,48,62,57,52,6,False
383,Groudon,Ground,,670,100,150,140,100,90,90,3,True
176,Togetic,Fairy,Flying,405,55,40,85,80,105,40,2,False
369,Relicanth,Water,Rock,485,100,90,130,45,65,55,3,False
198,Murkrow,Dark,Flying,405,60,85,42,85,42,91,2,False
257,BlazikenMega Blaziken,Fire,Fighting,630,80,160,80,130,80,100,3,False
88,Grimer,Poison,,325,80,80,50,40,50,25,1,False
62,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,1,False
587,Emolga,Electric,Flying,428,55,75,60,75,60,103,5,False
313,Volbeat,Bug,,400,65,73,55,47,75,85,3,False
658,Greninja,Water,Dark,530,72,95,67,103,71,122,6,False
505,Watchog,Normal,,420,60,85,69,60,69,77,5,False
305,Lairon,Steel,Rock,430,60,90,140,50,50,40,3,False
142,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,False
463,Lickilicky,Normal,,515,110,85,95,80,95,50,4,False
621,Druddigon,Dragon,,485,77,120,90,60,90,48,5,False
311,Plusle,Electric,,405,60,50,40,85,75,95,3,False
5,Charmeleon,Fire,,405,58,64,58,80,65,80,1,False
129,Magikarp,Water,,200,20,10,55,15,20,80,1,False
211,Qwilfish,Water,Poison,430,65,95,75,55,55,85,2,False
118,Goldeen,Water,,320,45,67,60,35,50,63,1,False
391,Monferno,Fire,Fighting,405,64,78,52,78,52,81,4,False
483,Dialga,Steel,Dragon,680,100,120,120,150,100,90,4,True
410,Shieldon,Rock,Steel,350,30,42,118,42,88,30,4,False
718,Zygarde50% Forme,Dragon,Ground,600,108,100,121,81,95,95,6,True
120,Staryu,Water,,340,30,45,55,70,55,85,1,False
386,DeoxysNormal Forme,Psychic,,600,50,150,50,150,50,150,3,True
170,Chinchou,Water,Electric,330,75,38,38,56,56,67,2,False
96,Drowzee,Psychic,,328,60,48,45,43,90,42,1,False
260,SwampertMega Swampert,Water,Ground,635,100,150,110,95,110,70,3,False
263,Zigzagoon,Normal,,240,38,30,41,30,41,60,3,False
475,GalladeMega Gallade,Psychic,Fighting,618,68,165,95,65,115,110,4,False
680,Doublade,Steel,Ghost,448,59,110,150,45,49,35,6,False
386,DeoxysDefense Forme,Psychic,,600,50,70,160,70,160,90,3,True
419,Floatzel,Water,,495,85,105,55,85,50,115,4,False
293,Whismur,Normal,,240,64,51,23,51,23,28,3,False
704,Goomy,Dragon,,300,45,50,35,55,75,40,6,False
368,Gorebyss,Water,,485,55,84,105,114,75,52,3,False
712,Bergmite,Ice,,304,55,69,85,32,35,28,6,False
442,Spiritomb,Ghost,Dark,485,50,92,108,92,108,35,4,False
447,Riolu,Fighting,,285,40,70,40,35,40,60,4,False
121,Starmie,Water,Psychic,520,60,75,85,100,85,115,1,False
124,Jynx,Ice,Psychic,455,65,50,35,115,95,95,1,False
318,Carvanha,Water,Dark,305,45,90,20,65,20,65,3,False
4,Charmander,Fire,,309,39,52,43,60,50,65,1,False
86,Seel,Water,,325,65,45,55,45,70,45,1,False
267,Beautifly,Bug,Flying,395,60,70,50,100,50,65,3,False
641,TornadusIncarnate Forme,Flying,,580,79,115,70,125,80,111,5,True
136,Flareon,Fire,,525,65,130,60,95,110,65,1,False
103,Exeggutor,Grass,Psychic,520,95,95,85,125,65,55,1,False
109,Koffing,Poison,,340,40,65,95,60,45,35,1,False
524,Roggenrola,Rock,,280,55,75,85,25,25,15,5,False
248,Tyranitar,Rock,Dark,600,100,134,110,95,100,61,2,False
620,Mienshao,Fighting,,510,65,125,60,95,60,105,5,False
637,Volcarona,Bug,Fire,550,85,60,65,135,105,100,5,False
452,Drapion,Poison,Dark,500,70,90,110,60,75,95,4,False
595,Joltik,Bug,Electric,319,50,47,50,57,50,65,5,False
685,Slurpuff,Fairy,,480,82,80,86,85,75,72,6,False
237,Hitmontop,Fighting,,455,50,95,95,35,110,70,2,False
6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,False
572,Minccino,Normal,,300,55,50,40,40,40,75,5,False
214,Heracross,Bug,Fighting,500,80,125,75,40,95,85,2,False
643,Reshiram,Dragon,Fire,680,100,120,100,150,120,90,5,True
269,Dustox,Bug,Poison,385,60,50,70,50,90,65,3,False
531,Audino,Normal,,445,103,60,86,60,86,50,5,False
91,Cloyster,Water,Ice,525,50,95,180,85,45,70,1,False
608,Lampent,Ghost,Fire,370,60,40,60,95,60,55,5,False
479,RotomFrost Rotom,Electric,Ice,520,50,65,107,105,107,86,4,False
273,Seedot,Grass,,220,40,40,50,30,30,30,3,False
549,Lilligant,Grass,,480,70,60,75,110,75,90,5,False
545,Scolipede,Bug,Poison,485,60,100,89,55,69,112,5,False
132,Ditto,Normal,,288,48,48,48,48,48,48,1,False
460,Abomasnow,Grass,Ice,494,90,92,75,92,85,60,4,False
139,Omastar,Rock,Water,495,70,60,125,115,70,55,1,False
639,Terrakion,Rock,Fighting,580,91,129,90,72,90,108,5,True
698,Amaura,Rock,Ice,362,77,59,50,67,63,46,6,False
570,Zorua,Dark,,330,40,65,40,80,40,65,5,False
428,LopunnyMega Lopunny,Normal,Fighting,580,65,136,94,54,96,135,4,False
382,KyogrePrimal Kyogre,Water,,770,100,150,90,180,160,90,3,True
386,DeoxysSpeed Forme,Psychic,,600,50,95,90,95,90,180,3,True
690,Skrelp,Poison,Water,320,50,60,60,60,60,30,6,False
25,Pikachu,Electric,,320,35,55,40,50,50,90,1,False
362,GlalieMega Glalie,Ice,,580,80,120,80,120,80,100,3,False
137,Porygon,Normal,,395,65,60,70,85,75,40,1,False
225,Delibird,Ice,Flying,330,45,55,45,65,45,75,2,False
101,Electrode,Electric,,480,60,50,70,80,80,140,1,False
105,Marowak,Ground,,425,60,80,110,50,80,45,1,False
144,Articuno,Ice,Flying,580,90,85,100,95,125,85,1,True
635,Hydreigon,Dark,Dragon,600,92,105,90,125,90,98,5,False
102,Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,1,False
648,MeloettaAria Forme,Normal,Psychic,600,100,77,77,128,128,90,5,False
20,Raticate,Normal,,413,55,81,60,50,70,97,1,False
512,Simisage,Grass,,498,75,98,63,98,63,101,5,False
454,Toxicroak,Poison,Fighting,490,83,106,65,86,65,85,4,False
233,Porygon2,Normal,,515,85,80,90,105,95,60,2,False
675,Pangoro,Fighting,Dark,495,95,124,78,69,71,58,6,False
314,Illumise,Bug,,400,65,47,55,73,75,85,3,False
306,AggronMega Aggron,Steel,,630,70,140,230,60,80,50,3,False
665,Spewpa,Bug,,213,45,22,60,27,30,29,6,False
681,AegislashShield Forme,Steel,Ghost,520,60,50,150,50,150,60,6,False
408,Cranidos,Rock,,350,67,125,40,30,30,58,4,False
58,Growlithe,Fire,,350,55,70,45,70,50,60,1,False
55,Golduck,Water,,500,80,82,78,95,80,85,1,False
6,CharizardMega Charizard X,Fire,Dragon,634,78,130,111,130,85,100,1,False
470,Leafeon,Grass,,525,65,110,130,60,65,95,4,False
586,Sawsbuck,Normal,Grass,475,80,100,70,60,70,95,5,False
615,Cryogonal,Ice,,485,70,50,30,95,135,105,5,False
319,SharpedoMega Sharpedo,Water,Dark,560,70,140,70,110,65,105,3,False
400,Bibarel,Normal,Water,410,79,85,60,55,60,71,4,False
607,Litwick,Ghost,Fire,275,50,30,55,65,55,20,5,False
324,Torkoal,Fire,,470,70,85,140,85,70,20,3,False
165,Ledyba,Bug,Flying,265,40,20,30,40,80,55,2,False
94,Gengar,Ghost,Poison,500,60,65,60,130,75,110,1,False
720,HoopaHoopa Confined,Psychic,Ghost,600,80,110,60,150,130,70,6,True
428,Lopunny,Normal,,480,65,76,84,54,96,105,4,False
335,Zangoose,Normal,,458,73,115,60,60,60,90,3,False
14,Kakuna,Bug,Poison,205,45,25,50,25,25,35,1,False
622,Golett,Ground,Ghost,303,59,74,50,35,50,35,5,False
79,Slowpoke,Water,Psychic,315,90,65,65,40,40,15,1,False
459,Snover,Grass,Ice,334,60,62,50,62,60,40,4,False
487,GiratinaOrigin Forme,Ghost,Dragon,680,150,120,100,120,100,90,4,True
388,Grotle,Grass,,405,75,89,85,55,65,36,4,False
541,Swadloon,Bug,Grass,380,55,63,90,50,80,42,5,False
201,Unown,Psychic,,336,48,72,48,72,48,48,2,False
66,Machop,Fighting,,305,70,80,50,35,35,35,1,False
203,Girafarig,Normal,Psychic,455,70,80,65,90,65,85,2,False
669,Flabébé,Fairy,,303,44,38,39,61,79,42,6,False
254,SceptileMega Sceptile,Grass,Dragon,630,70,110,75,145,85,145,3,False
204,Pineco,Bug,,290,50,65,90,35,35,15,2,False
284,Masquerain,Bug,Flying,414,70,60,62,80,82,60,3,False
77,Ponyta,Fire,,410,50,85,55,65,65,90,1,False
625,Bisharp,Dark,Steel,490,65,125,100,60,70,70,5,False
565,Carracosta,Water,Rock,495,74,108,133,83,65,32,5,False
474,Porygon-Z,Normal,,535,85,80,70,135,75,90,4,False
571,Zoroark,Dark,,510,60,105,60,120,60,105,5,False
41,Zubat,Poison,Flying,245,40,45,35,30,40,55,1,False
258,Mudkip,Water,,310,50,70,50,50,50,40,3,False
280,Ralts,Psychic,Fairy,198,28,25,25,45,35,40,3,False
430,Honchkrow,Dark,Flying,505,100,125,52,105,52,71,4,False
360,Wynaut,Psychic,,260,95,23,48,23,48,23,3,False
308,MedichamMega Medicham,Fighting,Psychic,510,60,100,85,80,85,100,3,False
411,Bastiodon,Rock,Steel,495,60,52,168,47,138,30,4,False
604,Eelektross,Electric,,515,85,115,80,105,80,50,5,False
616,Shelmet,Bug,,305,50,40,85,40,65,25,5,False
455,Carnivine,Grass,,454,74,100,72,90,72,46,4,False
439,Mime Jr.,Psychic,Fairy,310,20,25,45,70,90,60,4,False
65,AlakazamMega Alakazam,Psychic,,590,55,50,65,175,95,150,1,False
407,Roserade,Grass,Poison,515,60,70,65,125,105,90,4,False
469,Yanmega,Bug,Flying,515,86,76,86,116,56,95,4,False
18,PidgeotMega Pidgeot,Normal,Flying,579,83,80,80,135,80,121,1,False
235,Smeargle,Normal,,250,55,20,35,20,45,75,2,False
711,GourgeistSuper Size,Ghost,Grass,494,85,100,122,58,75,54,6,False
150,MewtwoMega Mewtwo Y,Psychic,,780,106,150,70,194,120,140,1,True
282,GardevoirMega Gardevoir,Psychic,Fairy,618,68,85,65,165,135,100,3,False
116,Horsea,Water,,295,30,40,70,70,25,60,1,False
83,Farfetch'd,Normal,Flying,352,52,65,55,58,62,60,1,False
593,Jellicent,Water,Ghost,480,100,60,70,85,105,60,5,False
711,GourgeistSmall Size,Ghost,Grass,494,55,85,122,58,75,99,6,False
279,Pelipper,Water,Flying,430,60,50,100,85,70,65,3,False
509,Purrloin,Dark,,281,41,50,37,50,37,66,5,False
589,Escavalier,Bug,Steel,495,70,135,105,60,105,20,5,False
302,Sableye,Dark,Ghost,380,50,75,75,65,65,50,3,False
43,Oddish,Grass,Poison,320,45,50,55,75,65,30,1,False
21,Spearow,Normal,Flying,262,40,60,30,31,31,70,1,False
310,Manectric,Electric,,475,70,75,60,105,60,105,3,False
445,Garchomp,Dragon,Ground,600,108,130,95,80,85,102,4,False
260,Swampert,Water,Ground,535,100,110,90,85,90,60,3,False
164,Noctowl,Normal,Flying,442,100,50,50,76,96,70,2,False
322,Numel,Fire,Ground,305,60,60,40,65,45,35,3,False
386,DeoxysAttack Forme,Psychic,,600,50,180,20,180,20,150,3,True
67,Machoke,Fighting,,405,80,100,70,50,60,45,1,False
422,Shellos,Water,,325,76,48,48,57,62,34,4,False
246,Larvitar,Rock,Ground,300,50,64,50,45,50,41,2,False
711,GourgeistAverage Size,Ghost,Grass,494,65,90,122,58,75,84,6,False
592,Frillish,Water,Ghost,335,55,40,50,65,85,40,5,False
59,Arcanine,Fire,,555,90,110,80,100,80,95,1,False
238,Smoochum,Ice,Psychic,305,45,30,15,85,65,65,2,False
401,Kricketot,Bug,,194,37,25,41,25,41,25,4,False
613,Cubchoo,Ice,,305,55,70,40,60,40,40,5,False
655,Delphox,Fire,Psychic,534,75,69,72,114,100,104,6,False
189,Jumpluff,Grass,Flying,460,75,55,70,55,95,110,2,False
659,Bunnelby,Normal,,237,38,36,38,32,36,57,6,False
393,Piplup,Water,,314,53,51,53,61,56,40,4,False
485,Heatran,Fire,Steel,600,91,90,106,130,106,77,4,True
15,BeedrillMega Beedrill,Bug,Poison,495,65,150,40,15,80,145,1,False
366,Clamperl,Water,,345,35,64,85,74,55,32,3,False
642,ThundurusIncarnate Forme,Electric,Flying,580,79,115,70,125,80,111,5,True
