Id,Name,Stage,Type,Attribute,Memory,Equip Slots,HP,SP,Atk,Def,Int,Spd,Image link
284,Hououmon,Mega,Vaccine,Fire,18,3,1390,173,84,99,193,158,http://digidb.io/images/dot/dot310.png
328,Ryudamon,Rookie,Vaccine,Neutral,5,1,790,73,123,97,57,102,http://digidb.io/images/dot/dot190.png
116,Devimon,Champion,Virus,Dark,8,1,990,94,133,84,125,97,http://digidb.io/images/dot/dot093.png
297,MetalGarurumon,Mega,Data,Water,18,3,1140,143,154,129,129,178,http://digidb.io/images/dot/dot135.png
256,TigerVespamon,Mega,Virus,Electric,18,3,1630,104,193,114,99,173,http://digidb.io/images/dot/dot745.png
76,ExVeemon,Champion,Free,Neutral,8,1,1030,118,104,94,94,118,http://digidb.io/images/dot/dot365.png
111,Socerimon,Champion,Vaccine,Water,8,1,1030,123,64,93,148,90,http://digidb.io/images/dot/dot755.png
238,GranDracmon,Mega,Virus,Dark,20,2,1340,140,174,114,169,151,http://digidb.io/images/dot/dot032.png
236,Kuzuhamon,Mega,Data,Dark,18,3,1380,163,84,129,193,139,http://digidb.io/images/dot/dot754.png
286,Boltmon,Mega,Data,Electric,18,3,1580,83,198,163,84,140,http://digidb.io/images/dot/dot431.png
74,Woodmon,Champion,Virus,Plant,6,2,1480,74,109,103,89,88,http://digidb.io/images/dot/dot393.png
10,Tsumemon,In-Training,Free,Dark,3,0,930,64,108,64,54,93,http://digidb.io/images/dot/dot631.png
331,Ouryumon,Mega,Vaccine,Neutral,20,2,1350,104,221,179,84,158,http://digidb.io/images/dot/dot193.png
71,Ikkakumon,Champion,Vaccine,Water,8,1,1330,84,118,102,94,90,http://digidb.io/images/dot/dot344.png
22,Impmon,Rookie,Virus,Dark,5,1,530,114,83,65,114,102,http://digidb.io/images/dot/dot081.png
97,Coredramon (Green),Champion,Virus,Earth,8,1,1230,74,151,99,61,123,http://digidb.io/images/dot/dot209.png
223,Imperialdramon FM,Mega,Free,Neutral,20,2,1780,114,198,124,114,153,http://digidb.io/images/dot/dot419.png
124,Bakemon,Champion,Virus,Dark,6,2,590,148,64,74,138,128,http://digidb.io/images/dot/dot013.png
86,Garurumon (Blk),Champion,Virus,Fire,8,1,890,108,109,104,79,133,http://digidb.io/images/dot/dot714.png
134,Unimon,Champion,Vaccine,Wind,6,2,790,123,84,79,128,118,http://digidb.io/images/dot/dot548.png
257,Titamon,Mega,Virus,Earth,18,3,1930,99,183,128,114,129,http://digidb.io/images/dot/dot440.png
315,Omnimon,Ultra,Vaccine,Light,25,2,1680,104,208,168,134,144,http://digidb.io/images/dot/dot088.png
244,Goldramon,Mega,Vaccine,Light,20,2,1680,99,193,149,134,138,http://digidb.io/images/dot/dot048.png
157,CatchMamemon,Ultimate,Data,Electric,10,3,1420,109,123,134,95,104,http://digidb.io/images/dot/dot044.png
57,Mushroomon,Rookie,Virus,Plant,4,1,1110,64,96,88,79,78,http://digidb.io/images/dot/dot607.png
249,ShineGreymon BM,Mega,Vaccine,Fire,22,2,1980,114,228,104,84,168,http://digidb.io/images/dot/dot776.png
117,Turuiemon,Champion,Data,Earth,6,2,1140,78,130,91,78,120,http://digidb.io/images/dot/dot102.png
314,Examon,Ultra,Data,Wind,25,2,1730,148,179,139,134,153,http://digidb.io/images/dot/dot215.png
138,Lekismon,Champion,Data,Water,6,2,790,113,94,84,99,143,http://digidb.io/images/dot/dot003.png
324,Magnamon,Armor,Free,Earth,22,2,1240,124,168,208,148,124,http://digidb.io/images/dot/dot382.png
4,Botamon,Baby,Free,Neutral,2,0,690,68,77,95,76,61,http://digidb.io/images/dot/dot317.png
28,Gabumon (Blk),Rookie,Virus,Fire,5,1,950,83,99,89,74,91,http://digidb.io/images/dot/dot713.png
83,ShellNumemon,Champion,Virus,Water,6,2,1280,103,79,148,74,79,http://digidb.io/images/dot/dot455.png
306,Crusadermon,Mega,Virus,Dark,22,2,1240,153,144,139,144,193,http://digidb.io/images/dot/dot703.png
41,ToyAgumon,Rookie,Vaccine,Neutral,4,1,1110,87,72,112,63,71,http://digidb.io/images/dot/dot708.png
131,Meramon,Champion,Data,Fire,6,2,1130,69,138,113,79,99,http://digidb.io/images/dot/dot010.png
162,Crescemon,Ultimate,Data,Water,12,3,1180,133,124,103,139,114,http://digidb.io/images/dot/dot004.png
15,Bukamon,In-Training,Free,Water,3,0,830,93,54,74,103,69,http://digidb.io/images/dot/dot514.png
75,Airdramon,Champion,Vaccine,Wind,6,2,1040,77,126,100,86,118,http://digidb.io/images/dot/dot011.png
199,Mamemon,Ultimate,Data,Earth,10,3,1480,113,111,153,84,97,http://digidb.io/images/dot/dot412.png
185,Panjyamon,Ultimate,Vaccine,Water,12,3,1280,128,124,114,111,126,http://digidb.io/images/dot/dot409.png
82,Kabuterimon,Champion,Vaccine,Plant,6,2,890,89,108,128,116,81,http://digidb.io/images/dot/dot304.png
198,MachGaogamon,Ultimate,Data,Wind,12,3,1480,89,158,89,89,158,http://digidb.io/images/dot/dot074.png
241,Craniamon,Mega,Vaccine,Earth,22,1,1630,143,124,208,134,124,http://digidb.io/images/dot/dot734.png
52,FanBeemon,Rookie,Virus,Plant,4,1,860,69,104,86,73,98,http://digidb.io/images/dot/dot042.png
192,BlueMeramon,Ultimate,Virus,Fire,12,3,1140,109,148,94,133,119,http://digidb.io/images/dot/dot177.png
323,Flamedramon,Armor,Free,Fire,8,3,1130,93,119,99,89,138,http://digidb.io/images/dot/dot716.png
39,Terriermon,Rookie,Vaccine,Wind,4,1,690,93,84,75,84,112,http://digidb.io/images/dot/dot701.png
337,Alphamon NX,Mega,Vaccine,Neutral,6,1,980,104,109,114,109,116,http://digidb.io/images/dot/dot901.png
239,GroundLocomon,Mega,Data,Electric,18,3,1140,114,144,213,133,128,http://digidb.io/images/dot/dot704.png
290,MarineAngemon,Mega,Vaccine,Water,18,3,1190,198,64,89,203,153,http://digidb.io/images/dot/dot024.png
267,Dorugoramon,Mega,Data,Dark,18,2,1640,91,225,134,88,145,http://digidb.io/images/dot/dot019.png
24,Otamamon,Rookie,Virus,Water,4,1,930,105,52,75,113,78,http://digidb.io/images/dot/dot582.png
285,Magnadramon,Mega,Vaccine,Light,20,2,1880,168,89,124,183,129,http://digidb.io/images/dot/dot453.png
318,Chaosmon VA,Ultra,Vaccine,Light,25,3,790,138,254,84,204,168,http://digidb.io/images/dot/dot118.png
340,Omnimon NX,Mega,Vaccine,Light,6,1,1010,98,116,111,111,113,http://digidb.io/images/dot/dot904.png
137,Leomon,Champion,Vaccine,Earth,8,1,1180,69,143,123,71,97,http://digidb.io/images/dot/dot072.png
258,TyrantKabuterimon,Mega,Virus,Plant,20,2,1530,108,174,164,123,159,http://digidb.io/images/dot/dot128.png
316,Omnimon Zwart,Ultra,Vaccine,Dark,25,2,1490,139,153,193,158,134,http://digidb.io/images/dot/dot757.png
189,HippoGryphonmon,Ultimate,Data,Wind,12,3,990,138,107,82,143,148,http://digidb.io/images/dot/dot082.png
317,Chaosmon,Ultra,Vaccine,Neutral,25,3,1080,129,318,94,89,188,http://digidb.io/images/dot/dot772.png
167,SuperStarmon,Ultimate,Data,Light,12,3,1180,128,122,134,109,120,http://digidb.io/images/dot/dot079.png
81,GaoGamon,Champion,Data,Wind,8,1,740,108,109,94,99,138,http://digidb.io/images/dot/dot068.png
194,Whamon,Ultimate,Vaccine,Water,12,2,1680,93,123,123,124,100,http://digidb.io/images/dot/dot021.png
335,Sistermon Ciel,Champion,Virus,Light,6,2,840,111,96,87,95,139,http://digidb.io/images/dot/dot783.png
25,Gaomon,Rookie,Data,Neutral,5,1,1030,69,118,74,66,101,http://digidb.io/images/dot/dot055.png
26,Gazimon,Rookie,Virus,Dark,4,1,970,71,123,64,59,102,http://digidb.io/images/dot/dot569.png
263,Dynasmon,Mega,Data,Wind,22,2,1680,114,213,129,94,178,http://digidb.io/images/dot/dot738.png
114,Tyrannomon,Champion,Data,Fire,6,2,1230,59,148,125,59,97,http://digidb.io/images/dot/dot363.png
130,Peckmon,Champion,Vaccine,Wind,8,1,790,113,104,84,94,148,http://digidb.io/images/dot/dot702.png
287,MagnaGarurumon,Mega,Free,Light,18,3,1480,122,175,104,114,183,http://digidb.io/images/dot/dot678.png
91,Greymon (Blue),Champion,Virus,Fire,8,1,1280,74,153,118,59,99,http://digidb.io/images/dot/dot712.png
251,Kentaurosmon,Mega,Vaccine,Light,22,1,1140,153,139,154,154,183,http://digidb.io/images/dot/dot086.png
230,Gaiomon,Mega,Virus,Fire,18,3,1630,99,203,129,94,158,http://digidb.io/images/dot/dot744.png
305,Ravemon BM,Mega,Vaccine,Wind,20,2,1040,133,149,139,144,213,http://digidb.io/images/dot/dot778.png
233,Chaosdramon,Mega,Virus,Electric,20,2,1630,99,203,173,109,134,http://digidb.io/images/dot/dot422.png
310,Armageddemon,Ultra,Free,Dark,25,1,1760,114,255,133,84,164,http://digidb.io/images/dot/dot106.png
125,Veedramon,Champion,Vaccine,Wind,8,1,1180,84,138,113,64,114,http://digidb.io/images/dot/dot397.png
161,Grademon,Ultimate,Vaccine,Neutral,12,3,1290,97,173,89,100,144,http://digidb.io/images/dot/dot026.png
186,Pandamon,Ultimate,Data,Earth,12,3,1090,104,135,153,118,97,http://digidb.io/images/dot/dot041.png
16,Motimon,In-Training,Free,Neutral,3,0,1030,63,82,81,78,69,http://digidb.io/images/dot/dot388.png
332,Apocalymon,Ultra,Free,Neutral,25,1,1890,173,89,104,183,188,http://digidb.io/images/dot/dot328.png
48,Palmon,Rookie,Data,Plant,5,1,1140,65,103,90,80,79,http://digidb.io/images/dot/dot348.png
109,Strikedramon,Champion,Vaccine,Earth,6,2,1150,72,151,87,68,118,http://digidb.io/images/dot/dot016.png
275,PlatinumNumemon,Mega,Virus,Neutral,16,3,450,132,99,999,50,144,http://digidb.io/images/dot/dot069.png
108,Stingmon,Champion,Free,Plant,8,1,1130,84,143,74,74,133,http://digidb.io/images/dot/dot091.png
142,Arcadiamon Ultimate,Ultimate,Virus,Dark,14,3,1130,120,157,99,119,138,http://digidb.io/images/dot/dot065.png
38,Chuumon,Rookie,Virus,Earth,4,1,700,91,87,73,85,111,http://digidb.io/images/dot/dot020.png
42,Dracmon,Rookie,Virus,Dark,5,1,870,81,108,88,83,84,http://digidb.io/images/dot/dot457.png
30,Kudamon,Rookie,Vaccine,Light,5,1,590,128,53,74,117,105,http://digidb.io/images/dot/dot053.png
301,RustTyranomon,Mega,Virus,Electric,18,3,1680,83,218,163,74,140,http://digidb.io/images/dot/dot383.png
259,Dianamon,Mega,Data,Water,20,3,790,178,89,154,198,183,http://digidb.io/images/dot/dot733.png
303,Lilithmon,Mega,Virus,Dark,22,2,940,203,99,104,223,173,http://digidb.io/images/dot/dot034.png
31,Keramon,Rookie,Free,Dark,5,1,1030,74,123,69,61,101,http://digidb.io/images/dot/dot626.png
183,Datamon,Ultimate,Virus,Electric,12,3,1180,133,74,114,175,102,http://digidb.io/images/dot/dot576.png
209,RizeGreymon,Ultimate,Vaccine,Fire,14,3,1530,94,178,109,69,143,http://digidb.io/images/dot/dot071.png
319,Susanomon,Ultra,Vaccine,Light,25,1,1630,129,183,158,149,149,http://digidb.io/images/dot/dot104.png
113,MudFrigimon,Champion,Data,Earth,6,2,1190,96,101,99,97,99,http://digidb.io/images/dot/dot759.png
67,Aquilamon,Champion,Free,Wind,8,1,840,108,109,89,89,143,http://digidb.io/images/dot/dot015.png
146,Infermon,Ultimate,Free,Dark,14,3,1330,99,198,89,74,153,http://digidb.io/images/dot/dot627.png
278,Breakdramon,Mega,Virus,Earth,20,2,1880,89,213,168,94,129,http://digidb.io/images/dot/dot214.png
214,LadyDevimon,Ultimate,Virus,Dark,14,3,890,163,99,94,158,143,http://digidb.io/images/dot/dot107.png
255,Darkdramon,Mega,Virus,Electric,18,3,1580,94,188,148,99,139,http://digidb.io/images/dot/dot771.png
172,Taomon,Ultimate,Data,Dark,12,3,990,148,69,104,173,138,http://digidb.io/images/dot/dot405.png
122,Birdramon,Champion,Vaccine,Fire,8,1,940,113,94,84,109,128,http://digidb.io/images/dot/dot308.png
307,Rosemon,Mega,Data,Plant,18,3,1330,147,144,129,149,144,http://digidb.io/images/dot/dot057.png
250,Justimon,Mega,Vaccine,Light,18,3,1530,99,193,158,99,144,http://digidb.io/images/dot/dot737.png
160,GrapLeomon,Ultimate,Vaccine,Electric,12,3,1580,89,163,99,79,143,http://digidb.io/images/dot/dot403.png
40,Tentomon,Rookie,Vaccine,Plant,4,1,750,79,86,110,93,73,http://digidb.io/images/dot/dot303.png
96,Coredramon (Blue),Champion,Vaccine,Wind,8,1,1230,76,151,103,69,109,http://digidb.io/images/dot/dot218.png
218,Arcadiamon Mega,Mega,Virus,Dark,20,2,1410,153,196,109,119,163,http://digidb.io/images/dot/dot066.png
178,Duramon,Ultimate,Vaccine,Neutral,14,3,1460,81,175,146,79,119,http://digidb.io/images/dot/dot699.png
191,BlackKingNumemon,Ultimate,Virus,Dark,10,3,1580,113,89,168,89,89,http://digidb.io/images/dot/dot753.png
224,Vikemon,Mega,Free,Water,18,3,1780,105,158,143,129,133,http://digidb.io/images/dot/dot346.png
202,WarGrowlmon,Ultimate,Virus,Fire,14,3,1430,84,178,138,87,116,http://digidb.io/images/dot/dot134.png
339,Leopardmon NX,Mega,Data,Light,6,1,960,109,112,91,116,126,http://digidb.io/images/dot/dot903.png
234,Gankoomon,Mega,Data,Fire,22,2,2080,90,188,163,109,138,http://digidb.io/images/dot/dot688.png
70,Ankylomon,Champion,Free,Earth,6,2,1330,98,89,133,79,79,http://digidb.io/images/dot/dot711.png
139,Reppamon,Champion,Vaccine,Light,8,1,790,118,94,99,99,143,http://digidb.io/images/dot/dot077.png
59,Lalamon,Rookie,Data,Plant,4,1,1100,74,87,87,79,79,http://digidb.io/images/dot/dot056.png
228,WarGreymon,Mega,Vaccine,Fire,20,2,1630,98,193,163,99,140,http://digidb.io/images/dot/dot027.png
